"midrib","estim","area"
5.5,2,1.33
6,1,0.75
7,1.58,0.8
7,1.58,1.05
7,1.26,1.47
8,0.16,0.75
8,1.58,1.29
8,1.26,1.36
8,1.58,1.42
8,2.51,1.6
8,2.51,1.84
8,1.58,1.84
8.5,2,1.37
8.5,1.58,1.52
9,1,1.03
9,1.58,1.35
9,2.51,1.65
9,2.51,1.65
9,2.51,1.73
9,2.51,1.79
9,2,1.88
9,2.51,2.3
9,0.79,0.09
10,2.51,1.72
10,2.51,1.93
10,2.51,2.06
10,2.51,2.47
10,3.16,2.57
10,3.16,2.6
10.5,1.26,1.73
11,2,1.56
11,2.51,1.96
11,3.98,2.19
11,2.51,2.26
11,2.51,2.47
11,2.51,2.74
11,3.98,4.95
11.5,2.51,2.61
12,1.26,1.24
12,2.51,2.22
12,3.16,2.57
12,2.5,2.81
12,3.98,3.17
12,3.16,3.19
12,3.98,3.24
12,5.01,6.32
12,2.51,0.22
13,3.98,2.76
13,3.98,3.49
13,3.98,3.91
14,3.98,3
14,3.98,3.43
14,5.01,3.81
14,5.01,3.9
14,3.98,3.91
15,6.31,3.67
15,3.98,3.99
15,5.01,4.7
15,6.31,4.89
15,5.01,5
15,3.98,5.22
15,6.31,5.6
15.5,5.01,5.33
16,5.01,3.97
16,6.31,4.73
16,5.01,5.13
16,6.31,5.2
17,1.58,1.42
17,3.98,2.43
17,6.31,4.49
17,3.98,4.94
17,5.01,4.97
17,3.98,5.03
17,5.01,5.54
17,5.01,5.71
17,6.31,6.04
17,6.31,6.34
18,6.31,4.75
18,6.31,5.34
18,6.31,5.49
18,10,5.69
18,6.31,5.83
18,7.94,6.19
18,6.31,6.58
18,6.31,6.8
18,6.31,9.48
18.5,6.31,6.87
19,6.31,5.99
19,6.31,6.45
19,6.31,7.19
19,6.31,7.3
19,6.31,7.32
19,7.94,7.76
19,10,8.99
19,7.94,9.34
19,10,9.58
19,6.31,0.7
19.5,6.31,6.37
20,10,6.64
20,10,6.7
20,6.31,6.78
20,6.31,7.1
20,6.31,7.15
20,7.94,7.39
20,7.94,7.69
20,7.94,7.74
20,7.94,7.77
20,10,8.16
20,10,9.76
20,10,9.94
20,6.31,0.7
21,6.31,6.07
21,7.94,6.18
21,7.94,6.32
21,10,7.07
21,7.94,7.4
21,7.94,8.04
21,12.6,8.63
21,10,9.9
21.5,7.94,8.02
22,7.94,7.26
22,10,8.65
22,10,9.92
22,15.8,14.94
23,10,5.35
23,6.31,6.59
23,10,7.97
23,7.94,8.12
23,7.94,8.99
23,10,9.97
23,10,14.36
23.5,10,11.08
24,15.8,8.64
24,10,9.59
24,10,9.8
24,10,10.94
24.5,20,20.4
25,10,9.19
25,10,9.4
25,12.6,1.14
26,10,10.31
26,12.6,10.79
26,12.6,12.85
27,10,12.09
27,12.6,12.31
