Plot,RootVolume,SeedLot,Height
1,RV3,A567,54.44
2,RV3,J052,56.44
3,RV1,A567,46.97
4,RV2,A567,54.57
5,RV1,B349,49.32
6,RV2,B349,55
7,RV1,J052,46.53
8,RV3,B349,61.76
9,RV2,J052,53.59
10,RV3,J052,57.29
11,RV3,A567,53.37
12,RV2,A567,52.6
13,RV1,A567,45.45
14,RV2,J052,54.21
15,RV1,B349,46.25
16,RV2,B349,55.9
17,RV1,J052,48.95
18,RV3,B349,59.02
19,RV1,A567,47.34
20,RV1,B349,50.01
21,RV3,A567,54.27
22,RV2,J052,53.24
23,RV2,A567,50.87
24,RV2,B349,54.25
25,RV3,B349,57.48
26,RV3,J052,56.97
27,RV1,J052,48.93
28,RV1,B349,50.24
29,RV1,A567,45.88
30,RV3,B349,59.99
31,RV3,A567,52.99
32,RV1,J052,48.44
33,RV2,A567,55.11
34,RV2,J052,52.81
35,RV2,B349,57.09
36,RV3,J052,57.45
37,RV2,A567,52.85
38,RV3,B349,57.95
39,RV1,B349,48.07
40,RV1,J052,46.34
41,RV2,J052,52.07
42,RV3,J052,55.63
43,RV1,A567,44.08
44,RV3,A567,55.64
45,RV2,B349,53.55
46,RV3,B349,59.85
47,RV2,A567,55.03
48,RV1,J052,50.17
49,RV1,B349,53.64
50,RV3,J052,57.92
51,RV2,J052,55.48
52,RV2,B349,59.46
53,RV1,A567,49.31
54,RV3,A567,58.39
