Tree,Load,Velocity
1,0.239,1.34
1,0.208,1.06
1,0.223,1.14
1,0.224,1.13
1,0.246,1.35
1,0.213,1.23
1,0.198,1.23
1,0.219,1.15
1,0.241,1.25
1,0.21,1.24
1,0.224,1.34
1,0.269,1.35
2,0.238,1.20
2,0.206,1.06
2,0.172,0.88
2,0.235,1.24
2,0.247,1.37
2,0.239,1.37
2,0.233,1.43
2,0.234,1.32
2,0.189,0.99
2,0.192,1.00
2,0.209,1.12
3,0.192,0.91
3,0.2,1.13
3,0.175,1.00
3,0.187,0.98
3,0.181,0.96
3,0.195,0.88
3,0.155,0.81
3,0.179,0.91
3,0.184,1.00
3,0.177,0.87
3,0.177,1.02
3,0.186,0.94
